zip,census_tract,approval,loan_amount,property_value,income,tract_minority_population_percent,income_level,dti_level,derived_race,num_below_p50,ec_zip,nbhd_ec_zip,exposure_grp_mem_zip,nbhd_exposure_zip,clustering_zip,volunteering_rate_zip,civic_organizations_zip
93550,06037910101,0.8187734536380487,300168.31608534383,457147.0644596116,94.1995892417535,70.7776923076923,middle,50,White,13838.07508182526,0.6289899900000001,0.55659997,0.7744200200000001,0.6232,0.07654999900000001,0.029279999,0.011689999999999999
93551,06037900704,0.825595391914089,353253.45787519467,535848.4641693244,121.1357220364105,55.07666666666666,upper,50,White,3179.324066847563,0.86464,1.0603498999999998,1.0132100999999998,1.0886199000000003,0.08033999799999998,0.044599999,0.0074700001000000005
93552,06037900201,0.8261112096905631,298752.54839045746,453407.260315856,88.3073196496279,67.75071428571428,middle,50,White,4913.834445238113,0.66854,0.7334899900000001,0.83157003,0.6941000200000003,0.077299997,0.020830000000000008,-0.00055
93560,06029005506,0.8264907415143176,269183.94522116403,365844.0952924285,91.66526102456106,41.415,middle,50,White,2010.809832334518,0.76046002,0.68695998,0.90114999,0.82015002,0.083659999,0.050269999,0.0049200002
93561,06029006003,0.8615087516309762,306504.2842233421,366192.14242358436,101.80145770847042,25.871666666666666,upper,50,White,2245.253623962402,0.95481002,0.90811998,1.0717800000000002,1.04716,0.09233999999999999,0.19310001,0.019370001
93602,06019006402,0.8713649114973,356093.68612732395,578451.0013747587,185.39954006203305,24.835,upper,30,White,410.4910702705383,0.93396002,0.88703001,1.07424,1.00579,0.1036,0.094400004,0.01357
93609,06019007300,0.8238806291747467,241365.81196581194,389234.7123464771,94.43789269553974,74.78599999999999,middle,50,White,1264.189639806747,0.54566002,0.57713002,0.65543002,0.55540001,0.10498,0.023560001,0.0035300001000000006
93610,06039000109,0.7731545186909397,254704.7529272724,411683.5829438705,96.00506939083077,56.92428571428571,middle,50,White,2915.587568283081,0.5981699799999999,0.59024,0.7403899999999999,0.63800001,0.10475,0.039209999,0.0080700004
93611,06019005509,0.8839863146620585,293364.0902369883,455831.65252560494,126.57330691913009,42.26105263157895,upper,50,White,3277.489358901978,0.88822001,1.7491698999999998,1.11645,1.72726,0.08590999999999999,0.055550002,0.01333
93612,06019003102,0.8414167899658154,237485.66908976983,365082.53664625937,101.86901134145052,47.923076923076934,middle,50,White,5845.148559570313,0.7476300000000001,0.7588999899999999,0.8863400200000002,0.81707001,0.08381000199999998,0.037760000999999994,0.0086599998
93614,06039000102,0.8205114826212817,301185.9015300323,471054.3906980056,134.88962386663172,18.672,upper,50,White,817.5966491699219,0.9743700000000001,1.0327899,1.09232,1.09443,0.10186999999999999,0.072080001,0.019069999
93618,06019006300,0.7895030259377834,221947.52190578933,349848.86132036045,85.20371267719393,83.27727272727272,moderate,50,White,6544.956255435944,0.46123999,0.31470998999999994,0.4870899900000001,0.33193000999999994,0.09175000300000001,0.022279999999999998,0.00856
93619,06019005503,0.887901098328691,352065.7913894028,576818.9916812639,166.31180274131526,36.076190476190476,upper,30,White,944.0928888916967,0.97872001,1.8260099999999992,1.1401600000000005,1.87059,0.08319999999999998,0.04947,0.00112
93620,06019008401,0.7627676281340335,275722.83426355536,427847.89552409854,97.83228334094389,69.31,middle,50,White,2524.769505023956,0.56628001,0.43900999,0.63042998,0.43493,0.11741,0.02428,0.0044900002
93622,06019008301,0.8000605772827996,250014.11479467037,354204.8116492561,84.77293037209704,83.58166666666666,middle,50,White,2947.361220359802,0.40216999999999997,0.28591999,0.44498,0.31211001,0.12715999999999997,0.011569999999999999,0.0068899998
93625,06019001600,0.8455215465938117,264620.41780729836,425360.1066141164,98.97905858783494,81.142,middle,50,White,1264.517166137695,0.63229001,0.66112,0.71259999,0.63903999,0.096210003,0.021539999,0.0098700002
93630,06019003900,0.761490656783153,239810.36549548214,384415.8920255098,94.60897388037692,74.815,middle,50,White,3268.98016834259,0.46008,0.39144998999999997,0.51840001,0.41793001,0.10472,0.017880000000000004,0.0060399999
93631,06019006802,0.8042867877311156,245063.1828866761,410453.0890986456,101.22817463210957,69.805,moderate,50,White,2265.639947414398,0.74958003,0.9401599800000001,0.8698800199999999,0.89739001,0.10061,0.034510002,0.01195
93635,06047002000,0.845151391368129,286746.30929328845,415325.6914480861,102.07913964622747,71.24333333333334,middle,50,White,5485.03116607666,0.7006300100000001,0.49631,0.7336199900000001,0.52511001,0.091669999,0.03153,0.0054299999
93636,06039000102,0.835777789332445,308288.81396746513,471384.91922670446,127.11715424862312,44.05285714285714,middle,50,White,1783.639778137207,0.90336001,1.29131,0.9811000199999997,1.14334,0.08727999799999998,0.060989998,0.005560000000000001
93637,06039000202,0.8229020892330265,231283.2441744594,341426.1946131407,87.22199298349776,74.627,moderate,50,White,5814.162113517523,0.54215997,0.53200001,0.66338003,0.58394998,0.084700003,0.02379,0.010080000000000002
93638,06039000109,0.8130453540289557,229608.95789777802,353395.4944072501,86.88382349448362,75.89454545454545,moderate,50,White,11014.40012407303,0.40255001,0.2935000099999999,0.50156999,0.35034001,0.08303000000000002,0.014919999999999996,0.0038399999000000005
93640,06019003900,0.7558235683235682,191402.20815220816,309327.22232722235,75.52513072513072,88.8575,moderate,50,White,2798.602427959442,0.29993001,0.20495,0.26787001,0.21041,0.1249,0.0027099999,0.00376
93643,06039000102,0.8309513478331616,322826.29133445426,518549.83637974365,151.73035200954604,18.39,middle,50,White,298.596736907959,0.86228001,0.85672998,1.04531,0.94647998,0.10764,0.080279998,0.03695
93644,06039000102,0.8342816411476448,295993.31811473035,473369.0800011571,146.03280397176945,15.9575,middle,50,White,764.5571384429932,0.90904999,0.92053998,1.07907,1.01961,0.1076,0.073299997,0.049430002
93646,06019006403,0.759725690975691,219603.56310356312,337247.2943722944,82.46324092574093,76.185,moderate,30,White,3078.522070407867,0.37441999,0.24442001,0.42952001,0.26853999,0.098980002,0.01736,0.0062899999
93647,06019006501,0.7807081807081807,227012.61701261703,348992.266992267,85.57537647537647,81.13000000000001,moderate,50,White,2937.14595413208,0.39219001,0.22012,0.39640999,0.21502,0.10168000000000002,0.03455,0.00392
93648,06019006802,0.7683217085836472,211990.06310174344,352679.2502460713,75.73482489336908,92.0275,moderate,50,White,4079.478996276855,0.38439,0.29251999,0.42983001,0.28235,0.10468,0.0079600001,0.00189
